%   dft 	Mg/Ca
%   [mm]	[ppm]
43.40	1.677294513
43.45	1.8489765
43.50	1.760350353
43.55	1.958025517
43.60	2.367303961
43.65	2.508457794
43.70	2.107596212
43.75	1.946727065
43.80	2.529055176
43.85	2.504264357
43.90	2.465305082
43.95	2.18264158
44.00	2.088327159
44.05	1.503888774
44.10	1.708570587
44.15	1.595342317
44.20	1.402957623
44.25	1.26401513
44.30	1.455426754
44.35	1.446707269
44.40	1.435258428
44.45	1.445471188
44.50	1.395204034
44.55	1.309683916
44.60	1.718337373
44.65	1.531585564
44.70	1.633997022
44.75	1.340140396
44.80	1.767159115
44.85	1.568116399
44.90	1.375149276
44.95	1.641354216
45.00	2.07243974
45.05	1.831239807
45.10	1.263251444
45.15	1.764004768
45.20	1.43229865
45.25	1.341931873
45.30	1.512750088
45.35	1.484693977
45.40	1.552968403
45.45	1.526868454
45.50	1.188149558
45.55	1.014354132
45.60	1.335413672
45.65	1.702964923
45.70	1.392210513
45.75	1.422840158
45.80	1.296210692
45.85	1.091124385
45.90	1.395550084
45.95	1.387549754
46.00	1.463848236
46.05	1.734818675
46.10	1.545879365
46.15	2.519053831
46.20	1.92442339
46.25	1.505596055
46.30	1.483711898
46.35	2.106946935
46.40	1.403371355
46.45	1.200037501
46.50	1.153208166
46.55	1.307999222
46.60	1.113451389
46.65	1.323485316
46.70	1.447846824
46.75	1.512890801
46.80	1.574352369
46.85	1.679360825
46.90	1.279787297
46.95	1.610295309
47.00	1.439603492
47.05	1.428261141
47.10	1.376669612
47.15	1.457243161
47.20	1.31254301
47.25	1.257936194
47.30	1.239093728
47.35	1.535897092
47.40	1.467782181
47.45	1.608611864
47.50	1.103105048
47.55	1.18983411
47.60	1.591726759
47.65	1.551366073
47.70	1.752164771
47.75	1.719546527
47.80	1.515260323
47.85	1.79929256
47.90	2.148341199
47.95	1.956808839
48.00	2.235719095
48.05	1.609953628
48.10	1.241970976
48.15	1.4336399
48.20	1.336634964
48.25	1.330475993
48.30	1.448515103
48.35	1.555374881
48.40	1.698934371
48.45	1.831681779
48.50	1.524847515
48.55	1.681229952
48.60	1.292120313
48.65	1.429965167
48.70	1.659496005
48.75	1.382792613
48.80	1.637677886
48.85	1.331469054
48.90	1.46546223
48.95	1.665520228
49.00	1.237106725
49.05	1.519516083
49.10	1.221895601
49.15	1.052076172
49.20	1.234039589
49.25	1.281208827
49.30	1.56497214
49.35	1.437587901
49.40	1.759055973
49.45	1.419929004
49.50	1.568624747
49.55	1.570624743
49.60	1.777096107
49.65	1.426649674
49.70	1.926574182
49.75	1.760539943
49.80	1.633524131
49.85	1.367829164
49.90	1.70038409
49.95	1.141082719
50.00	1.041481599
50.05	1.133109395
50.10	1.30055099
50.15	1.280397184
50.20	1.409777692
50.25	1.716872715
50.30	1.418177541
50.35	1.250802995
50.40	1.274469989
50.45	1.662637478
50.50	1.694217955
50.55	1.495621819
50.60	1.63263444
50.65	1.571468482
50.70	1.54145253
50.75	1.645793606
50.80	1.592615572
50.85	1.492648201
50.90	1.643136204
50.95	1.554848626
51.00	1.398790129
51.05	1.53264696
51.10	1.575164053
51.15	1.336005344
51.20	1.517819596
51.25	1.407777731
51.30	1.173508981
51.35	1.452919988
51.40	1.655566725
51.45	1.664877313
51.50	1.479752728
51.55	1.567267298
51.60	1.256250462
51.65	1.302059113
51.70	1.540586316
51.75	1.489203276
51.80	1.279942112
51.85	1.119700894
51.90	1.252488414
51.95	1.352303497
52.00	1.413072038
52.05	1.330534283
52.10	1.560988196
52.15	1.42818973
52.20	1.383633121
52.25	1.313864748
52.30	1.489810531
52.35	1.143401011
52.40	1.157197674
52.45	1.20818192
52.50	1.444523493
52.55	1.150202766
52.60	1.359738782
52.65	1.528319394
52.70	1.236028519
52.75	1.502991904
52.80	1.734247531
52.85	1.233731596
52.90	1.67286832
52.95	1.710205188
53.00	1.59440203
53.05	1.263167692
53.10	1.379787269
53.15	1.25685373
53.20	1.35282181
53.25	1.768009901
53.30	1.651323705
53.35	1.599825076
53.40	1.929990539
53.45	2.197314998
53.50	2.704072398
53.55	2.107741615
53.60	1.612755891
53.65	1.877489818
53.70	1.472842113
53.75	1.463011056
53.80	1.371991269
53.85	1.538716782
53.90	1.510793457
53.95	1.347838029
54.00	1.085637652
54.05	1.26443241
54.10	1.361809111
54.15	1.333139187
54.20	1.661926236
54.25	1.864182004
54.30	1.249860945
54.35	1.395668985
54.40	1.415962619
54.45	1.484293855
54.50	1.521238968
54.55	1.692826479
54.60	1.431086147
54.65	1.386237615
54.70	1.510248805
54.75	1.766433722
54.80	2.039101934
54.85	1.502448686
54.90	1.482386054
54.95	1.41915341
55.00	1.405030573
55.05	1.440281213
55.10	1.259620389
55.15	1.372522764
55.20	1.627443451
55.25	1.455581773
55.30	1.275008602
55.35	1.749491266
55.40	1.734775506
55.45	1.636535107
55.50	1.471378765
55.55	1.519299758
55.60	1.045552165
55.65	1.106693318
55.70	1.253885979
55.75	1.221839222
55.80	1.361956436
55.85	1.515282847
55.90	1.317849397
55.95	1.272470459
56.00	1.476049452
56.05	1.410242955
56.10	1.625762851
56.15	1.538198013
56.20	1.468841803
56.25	1.679639919
56.30	1.760226669
56.35	1.784534513
56.40	1.542049045
56.45	1.441917464
56.50	1.403234628
56.55	1.371241123
56.60	1.377829651
56.65	1.337622425
56.70	1.333414731
56.75	1.529452469
56.80	1.521704835
56.85	1.432475246
56.90	1.33939354
56.95	1.36869066
57.00	1.445808883
57.05	1.611477549
57.10	1.703713393
57.15	1.652592504
57.20	1.523599372
57.25	1.416440478
57.30	1.718024637
57.35	1.425093522
57.40	1.621634761
57.45	1.701693185
57.50	1.433638137
57.55	1.479850169
57.60	1.877857025
57.65	1.465465011
57.70	1.513160232
57.75	1.322110711
57.80	1.35451904
57.85	1.457638225
57.90	1.552374897
57.95	1.234531993
58.00	1.288767327
58.05	1.155585175
58.10	1.361295184
58.15	1.406703543
58.20	1.51621465
58.25	1.396011131
58.30	1.395002119
58.35	1.57489928
58.40	1.671009843
58.45	1.523171866
58.50	1.581759035
58.55	1.616034118
58.60	1.292346546
58.65	1.696848122
58.70	1.601319214
58.75	2.228548018
58.80	2.092638715
58.85	1.531905678
58.90	1.689684414
58.95	1.689028217
59.00	1.477447676
59.05	1.553585025
59.10	1.863494262
59.15	2.258411834
59.20	1.954185577
59.25	1.484693977
59.30	1.633666601
59.35	1.727390504
59.40	1.882114673
59.45	2.491935017
59.50	2.058670042
59.55	3.285537109
59.60	2.308544693
59.65	1.931343424
59.70	1.641289239
59.75	1.594436273
59.80	1.361210051
59.85	1.558505123
59.90	1.353216414
59.95	1.588986655
60.00	1.435089785
60.05	1.638476384
60.10	1.721218178
60.15	1.928268415
60.20	2.036867714
60.25	1.952925923
60.30	1.720611073
60.35	1.524795546
60.40	1.35543634
60.45	1.846316461
60.50	1.555528965
60.55	1.606990901
60.60	1.412922583
60.65	1.718635752
60.70	2.183359529
60.75	1.725079593
60.80	1.774925321
60.85	1.601594476
60.90	1.636286505
60.95	2.519682684
61.00	1.70984851
61.05	1.456252176
61.10	1.284001014
61.15	1.512290946
61.20	1.360629723
61.25	1.590785855
61.30	1.431914815
61.35	1.371809802
61.40	1.206055773
61.45	1.423170411
61.50	1.335475988
61.55	1.529533768
61.60	1.555297816
61.65	1.488754153
61.70	1.276667994
61.75	1.522635039
61.80	1.331349851
61.85	1.276095149
61.90	1.392874687
61.95	1.430231807
62.00	1.43068339
62.05	1.45137881
62.10	1.248486328
62.15	1.689110225
62.20	1.463050915
62.25	1.275624178
62.30	1.20446861
62.35	1.385973327
62.40	1.28096299
62.45	1.51669946
62.50	1.496892214
62.55	1.45960581
62.60	1.211440439
62.65	1.306027967
62.70	1.608387631
62.75	1.492606468
62.80	1.196867081
62.85	1.345384833
62.90	1.409869702
62.95	1.519846954
63.00	1.487398942
63.05	1.408734776
63.10	1.362410563
63.15	1.392496503
63.20	1.680097168
63.25	1.505281054
63.30	1.606370262
63.35	1.411349237
63.40	1.628024477
63.45	1.285667146
63.50	1.365474339
63.55	1.393348464
63.60	1.506962548
63.65	1.334731003
63.70	1.465732464
63.75	1.452218167
63.80	1.547713806
63.85	1.354307415
63.90	1.479408109
63.95	1.790783435
64.00	1.896457541
64.05	1.505232228
64.10	1.699313688
64.15	1.360517837
64.20	1.724882826
64.25	1.347289532
64.30	1.295191441
64.35	1.382200539
64.40	1.367937433
64.45	1.606029566
64.50	1.281538667
64.55	1.656365296
64.60	1.325871604
64.65	1.552651588
64.70	1.641440445
64.75	1.785931729
64.80	1.67174455
64.85	1.901730836
64.90	1.669395383
64.95	1.469236062
65.00	1.261946797
65.05	1.376379098
65.10	1.207676976
65.15	1.401517847
65.20	1.381651303
65.25	1.384807127
65.30	1.34917848
65.35	1.501125079
65.40	1.39484583
65.45	1.31874263
65.50	1.453313522
65.55	1.616801778
65.60	1.348570747
65.65	1.954268622
65.70	1.612861268
65.75	1.787193067
65.80	1.371331348
65.85	2.008217728
65.90	2.229977791
65.95	2.276895473
66.00	2.324467055
66.05	1.514849823
66.10	1.415101366
66.15	1.482875737
66.20	1.354281287
66.25	1.166253756
66.30	1.239214701
66.35	1.260417072
66.40	1.268994451
66.45	1.423742572
66.50	1.287107369
66.55	1.309621626
66.60	1.361977059
66.65	1.140597907
66.70	1.292722339
66.75	1.279140612
66.80	1.193498621
66.85	1.234560318
66.90	1.196930913
66.95	1.164071207
67.00	1.472116384
67.05	1.683621206
67.10	1.51909417
67.15	1.902457243
67.20	2.179295283
67.25	1.951526597
67.30	1.688477724
67.35	1.601829811
67.40	1.530218933
67.45	1.773606933
67.50	1.387103441
67.55	1.447433218
67.60	1.094416197
67.65	1.508216329
67.70	1.723465399
67.75	1.85724709
67.80	2.086457287
67.85	2.03008557
67.90	1.993979135
67.95	2.10770472
68.00	1.753567058
68.05	1.594209442
68.10	1.489827121
68.15	1.596575621
68.20	1.561527418
68.25	1.68824955
68.30	1.54976814
68.35	1.497615447
68.40	1.524693859
68.45	1.442438757
68.50	1.392384354
68.55	1.460003411
68.60	1.587433097
68.65	1.349368953
68.70	1.220348365
68.75	1.224074617
68.80	1.657246529
68.85	1.602665264
68.90	1.309854506
68.95	1.270315582
69.00	1.609388836
69.05	1.509332302
69.10	1.476784501
69.15	1.284394606
69.20	1.736887048
69.25	1.711291217
69.30	1.560041422
69.35	1.373667196
69.40	1.520635808
69.45	1.370124904
69.50	1.293591673
69.55	1.383873346
69.60	1.056602835
69.65	1.215066829
69.70	1.136338317
69.75	1.430341431
69.80	1.546486331
69.85	1.335923003
69.90	1.413689278
69.95	1.668647051
70.00	1.621731198
70.05	1.438388477
70.10	1.488464401
